incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
901804569,C18047407,10/29/2018 10:59:30 AM,336 - VANDALISM OVER $1500,336 - VANDALISM OVER $1500,,200 Block YESLER WAY,,SEATTLE,WA,98104,,47.6017108,-122.3303119,01/17/2019 07:20:17 PM,02/21/2019 12:59:53 AM,POINT (-122.3303119 47.6017108),10,Monday,Property Crime
901803760,C18047105,10/29/2018 12:30:18 PM,234 - THREATS,234 - THREATS,,11000 Block 16TH AVE SW,,SEATTLE,WA,98146,,47.5038271,-122.3547518,01/17/2019 07:17:53 PM,02/21/2019 12:55:23 AM,POINT (-122.3547518 47.5038271),12,Monday,Other
901804835,C18048329,10/29/2018 01:00:13 PM,"271 - BURGLARY, COMMERCIAL","271 - BURGLARY, COMMERCIAL",,9100 Block 15TH PL S,,SEATTLE,WA,98108,,47.52164459999999,-122.3141088,01/17/2019 07:21:34 PM,02/21/2019 01:02:23 AM,POINT (-122.3141088 47.52164459999999),13,Monday,Breaking & Entering
901803923,C18047259,10/29/2018 01:18:13 PM,"147 - SEX OFFENSE, NSC","147 - SEX OFFENSE, NSC",,19100 Block 215TH WAY NE,,WOODINVILLE,WA,98077,,47.766172,-122.0516408,01/17/2019 07:18:31 PM,02/21/2019 12:56:31 AM,POINT (-122.0516408 47.766172),13,Monday,Other Sexual Offense
901804970,C18047114,10/29/2018 01:48:52 PM,"504 - CRIMINAL WARRANT, MISDEMEANOR","504 - CRIMINAL WARRANT, MISDEMEANOR",,300 Block PINE ST,,SEATTLE,WA,98101,,47.611489,-122.3385904,01/17/2019 07:22:16 PM,02/21/2019 01:04:08 AM,POINT (-122.3385904 47.611489),13,Monday,Other
901803653,C18047140,10/29/2018 02:00:45 PM,"286 - LARCENY, P/S - PURSE SNATCHING","286 - LARCENY, P/S - PURSE SNATCHING",,500 Block S LANDER ST,,SEATTLE,WA,98134,,47.5803031,-122.3269243,01/17/2019 07:17:29 PM,02/21/2019 12:54:02 AM,POINT (-122.3269243 47.5803031),14,Monday,Theft
901803918,C18047119,10/29/2018 02:05:00 PM,"311 - VEHICLE RECOVERY, OUTSIDE STOLEN OR NO CASE NO.","311 - VEHICLE RECOVERY, OUTSIDE STOLEN OR NO CASE NO.",,200 Block RAINIER AV,,ENUMCLAW,WA,98022,,47.2010605,-121.9805412,01/17/2019 07:18:31 PM,02/21/2019 12:56:31 AM,POINT (-121.9805412 47.2010605),14,Monday,Vehicle Recovery
901803661,C18047120,10/29/2018 02:15:00 PM,567 - WELFARE STATUS,567 - WELFARE STATUS,,SW 102ND ST & 14TH AVE SW,,WHITE CENTER,WA,98146,,47.5119035,-122.3526228,01/17/2019 07:17:29 PM,02/21/2019 12:54:02 AM,POINT (-122.3526228 47.5119035),14,Monday,Community Policing
901803744,C18047126,10/29/2018 02:56:51 PM,"274 - BURGLARY, RESIDENTIAL","274 - BURGLARY, RESIDENTIAL",,4600 Block S 300TH PL,,AUBURN,WA,98001,,47.3308614,-122.2756761,01/17/2019 07:17:53 PM,02/21/2019 12:55:23 AM,POINT (-122.2756761 47.3308614),14,Monday,Breaking & Entering
901803758,C18047144,10/29/2018 03:07:00 PM,"311 - VEHICLE RECOVERY, OUTSIDE STOLEN OR NO CASE NO.","311 - VEHICLE RECOVERY, OUTSIDE STOLEN OR NO CASE NO.",,16500 Block SE 120TH ST,,RENTON,WA,98059,,47.4958803,-122.1200009,01/17/2019 07:17:53 PM,02/21/2019 12:55:23 AM,POINT (-122.1200009 47.4958803),15,Monday,Vehicle Recovery
901803665,C18047141,10/29/2018 03:36:00 PM,"311 - VEHICLE RECOVERY, OUTSIDE STOLEN OR NO CASE NO.","311 - VEHICLE RECOVERY, OUTSIDE STOLEN OR NO CASE NO.",,S 115TH PL & 87TH AVE S,,BRYN MAWR-SKYWAY,WA,98178,,47.4996241,-122.2229469,01/17/2019 07:17:29 PM,02/21/2019 12:54:02 AM,POINT (-122.2229469 47.4996241),15,Monday,Vehicle Recovery
901803663,C18047175,10/29/2018 04:00:00 PM,377 - SUSPICIOUS CIRCUMSTANCES,377 - SUSPICIOUS CIRCUMSTANCES,,10600 Block 18TH AVE SW,,SEATTLE,WA,98146,,47.5084019,-122.358155,01/17/2019 07:17:29 PM,02/21/2019 12:54:02 AM,POINT (-122.358155 47.5084019),16,Monday,Other
901805292,C18047168,10/29/2018 05:31:00 PM,222 - DEATH INVESTIGATION,222 - DEATH INVESTIGATION,,4900 Block 334TH AVE SE,,FALL CITY,WA,98024,,47.5575964,-121.895596,01/17/2019 07:24:36 PM,02/21/2019 01:08:37 AM,POINT (-121.895596 47.5575964),17,Monday,Death
904721144,C18047160,10/29/2018 05:37:24 PM,"510 - CRIMINAL WARRANT, FELONY (OUTSIDE AGENCY)","510 - CRIMINAL WARRANT, FELONY (OUTSIDE AGENCY)",,SW 98TH ST & 12TH AVE SW,,WHITE CENTER,WA,98106,,47.5157528,-122.3505572,02/03/2019 08:44:24 PM,02/21/2019 02:34:40 AM,POINT (-122.3505572 47.5157528),17,Monday,Other
901803666,C18047165,10/29/2018 05:50:00 PM,"324 - PROPERTY, FOUND","324 - PROPERTY, FOUND",,1300 Block SW 102ND ST,,SEATTLE,WA,98146,,47.5117145,-122.3520779,01/17/2019 07:17:29 PM,02/21/2019 12:54:02 AM,POINT (-122.3520779 47.5117145),17,Monday,Other
901804959,C18047244,10/29/2018 11:00:45 PM,"300 - THEFT, VEHICLE","300 - THEFT, VEHICLE",,2000 Block S 360TH ST,,FEDERAL WAY,WA,98003,,47.2806583,-122.3076643,01/17/2019 07:22:16 PM,02/21/2019 01:04:08 AM,POINT (-122.3076643 47.2806583),23,Monday,Theft of Vehicle
901805298,C18048472,10/30/2018 12:00:00 AM,377 - SUSPICIOUS CIRCUMSTANCES,377 - SUSPICIOUS CIRCUMSTANCES,,200 Block S JACKSON ST,,SEATTLE,WA,98104,,47.5990865,-122.3313145,01/17/2019 07:24:36 PM,02/21/2019 01:08:38 AM,POINT (-122.3313145 47.5990865),0,Tuesday,Other
